Country,Policy_Bucket,Need_Score_0to1,Urban_Pop_used,WAT_latest,SAN_latest,CMR_latest,Feasible_WAT_gain,Feasible_SAN_gain,People_new_WAT_12m,People_new_SAN_12m,Standpipes_needed,New_connections_needed,Basic_toilets_needed,Handwash_stations_needed,Desludging_trips_year,Cost_total_12m_USD,Primary_Owner,Co_Leads,Objective,Key_Actions,Timeline_90d,Timeline_6_12m,Timeline_12_24m,KPIs
Namibia,Type C: Service Quality & Risk Control,0.403,1653263,85.91,35.84,9.95,0.041,0.08,67618,132261,136,6762,6614,27,530,4938200,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Sao Tome and Principe,Type C: Service Quality & Risk Control,0.381,177811,77.34,47.84,3.33,0.1,0.08,17781,14225,36,1779,712,4,72,985400,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Gambia,Type C: Service Quality & Risk Control,0.367,1755758,85.65,47.72,14.37,0.043,0.08,76375,140461,153,7638,7024,29,562,5439900,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Rwanda,Type C: Service Quality & Risk Control,0.364,2523108,65.1,73.83,10.09,0.1,0.062,252311,155676,505,25232,7784,51,1010,13271500,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Mauritania,Type C: Service Quality & Risk Control,0.36,2936019,77.81,55.93,8.57,0.1,0.08,293602,234882,588,29361,11745,59,1175,16249850,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Eswatini,Type C: Service Quality & Risk Control,0.36,307787,73.47,64.42,11.62,0.1,0.08,30779,24623,62,3078,1232,7,124,1704500,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Afghanistan,Type C: Service Quality & Risk Control,0.347,11302641,82.18,55.95,12.82,0.078,0.08,883867,904211,1768,88387,45211,181,3617,51877650,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Gabon,Type C: Service Quality & Risk Control,0.337,2268787,86.93,49.9,10.7,0.031,0.08,69652,181503,140,6966,9076,37,727,5781150,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Djibouti,Type C: Service Quality & Risk Control,0.322,907741,76.17,66.91,8.69,0.1,0.08,90774,72619,182,9078,3631,19,364,5024600,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Vanuatu,Type C: Service Quality & Risk Control,0.3,83781,91.34,46.71,3.57,0.0,0.08,0,6702,0,0,336,2,27,103250,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Senegal,Type C: Service Quality & Risk Control,0.293,9053249,86.25,60.18,9.75,0.037,0.08,339497,724260,679,33950,36213,145,2898,25708800,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Timor-Leste,Type C: Service Quality & Risk Control,0.29,454629,87.02,58.38,7.81,0.03,0.08,13548,36370,28,1355,1819,8,146,1142300,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Myanmar,Type C: Service Quality & Risk Control,0.251,17577245,82.38,74.13,8.37,0.076,0.059,1339386,1031784,2679,133939,51590,268,5358,73526600,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Cambodia,Type C: Service Quality & Risk Control,0.25,4536308,78.01,76.72,3.58,0.1,0.033,453631,148791,908,45364,7440,91,1815,21893950,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Mongolia,Type C: Service Quality & Risk Control,0.241,2377063,83.51,69.96,2.08,0.065,0.08,154271,190165,309,15428,9509,39,761,9552350,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Nicaragua,Type C: Service Quality & Risk Control,0.238,4104748,81.71,73.02,1.87,0.083,0.07,340284,286511,681,34029,14326,69,1362,19046900,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Pakistan,Type C: Service Quality & Risk Control,0.225,94955103,90.63,70.53,11.14,0.0,0.08,0,7596408,0,0,379821,1520,30386,116529300,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Lao People's Democratic Republic,Type C: Service Quality & Risk Control,0.209,2982145,85.46,79.51,8.58,0.045,0.005,135389,14613,271,13539,731,28,542,6087700,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Bangladesh,Type C: Service Quality & Risk Control,0.206,70695838,98.1,59.3,4.47,0.0,0.08,0,5655667,0,0,282784,1132,22623,86758350,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Marshall Islands,Type A: Maintain & Climate-proof,0.191,30772,85.06,81.46,5.05,0.049,0.0,1520,0,4,152,0,1,7,67550,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Bolivia,Type C: Service Quality & Risk Control,0.19,8760085,94.11,68.61,4.6,0.0,0.08,0,700807,0,0,35041,141,2804,10750800,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Nauru,Type C: Service Quality & Risk Control,0.184,11900,97.0,65.93,4.55,0.0,0.08,0,952,0,0,48,1,4,14900,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Guatemala,Type C: Service Quality & Risk Control,0.179,9704402,94.62,69.62,3.53,0.0,0.08,0,776352,0,0,38818,156,3106,11909600,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
South Africa,Type C: Service Quality & Risk Control,0.155,43804919,94.49,77.63,6.59,0.0,0.024,0,1038177,0,0,51909,208,4153,15925850,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Nepal,Type A: Maintain & Climate-proof,0.155,6641497,91.24,80.39,4.44,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
India,Type C: Service Quality & Risk Control,0.154,530173118,93.3,78.39,5.27,0.0,0.016,0,8535787,0,0,426790,1708,34144,130939400,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Botswana,Type A: Maintain & Climate-proof,0.154,1822730,92.57,80.55,6.75,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Morocco,Type A: Maintain & Climate-proof,0.144,24755627,87.02,87.52,2.61,0.03,0.0,737718,0,1476,73772,0,148,2951,31973750,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Cabo Verde,Type A: Maintain & Climate-proof,0.143,357340,89.87,83.05,1.91,0.001,0.0,465,0,1,47,0,1,2,20700,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Tajikistan,Type C: Service Quality & Risk Control,0.138,2963485,81.94,96.75,3.89,0.081,0.0,238857,0,478,23886,0,48,956,10352700,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Peru,Type C: Service Quality & Risk Control,0.137,26785082,94.81,78.46,3.2,0.0,0.015,0,412490,0,0,20625,83,1650,6327900,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Dominica,Type A: Maintain & Climate-proof,0.128,48110,95.42,80.37,4.0,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Democratic People's Republic of Korea,Type A: Maintain & Climate-proof,0.123,16776347,93.89,84.77,5.33,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Republic of Moldova,Type A: Maintain & Climate-proof,0.122,1337213,92.02,84.91,2.0,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Jamaica,Type A: Maintain & Climate-proof,0.12,1640317,91.1,86.55,1.75,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Bhutan,Type C: Service Quality & Risk Control,0.117,353874,99.13,77.94,4.33,0.0,0.021,0,7290,0,0,365,2,30,112200,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Philippines,Type A: Maintain & Climate-proof,0.117,55853207,94.88,84.76,5.38,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Micronesia (Federated States of),Type A: Maintain & Climate-proof,0.116,26534,90.11,90.45,3.92,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Algeria,Type A: Maintain & Climate-proof,0.106,34968475,94.66,85.83,3.24,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Honduras,Type A: Maintain & Climate-proof,0.102,6473987,95.8,84.4,2.36,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Panama,Type A: Maintain & Climate-proof,0.102,3116137,94.65,85.88,1.95,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Saint Lucia,Type A: Maintain & Climate-proof,0.1,34614,96.89,83.36,2.44,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Indonesia,Type A: Maintain & Climate-proof,0.1,166475768,94.11,88.16,3.35,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
